"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1902495593794302210","Wed Mar 19 23:01:10 +0000 2025","10226"," TIPS SKOR 750+ SNBT DALAM 1 BULAN Kak aku ga lolos SNBP masih kekejar ga ya? Kak aku baru bisa fokus 1 bulanan ini Kak mulai bljr dari mana? sama sumbernya dari mana Rekomendasi tempat belajar? Ini Tips &amp; Trick buat Dapetin Skor UTBK 750+ dalam 1 bulan https://t.co/UY6jcZFj4r","1902495593794302210","https://pbs.twimg.com/media/GmcFqAQa4AEzsrA.jpg","","in","DKI Jakarta, Indonesia","17","9","1920","https://x.com/studytipsntrik/status/1902495593794302210","1431851630652125190","studytipsntrik"
"1901920875940921752","Tue Mar 18 08:57:33 +0000 2025","2906","2. Belajar sesuai sebaran materi Dalam waktu 1 bulan jangan buang waktu kamu dengan mencoba menguasai semua materi. Fokus pada soal2 yang banyak keluar aja. Ini beberapa materi yang banyak keluar di SNBT save &amp; share! https://t.co/HdDDZa9UOV","1901920899206684935","https://pbs.twimg.com/media/GmT4RBbbYAAzpVZ.png","ahnafau","in","Bandung-Jakarta","4","2","626","https://x.com/ahnafau/status/1901920899206684935","1250114172345405441","ahnafau"
"1901955823951307070","Tue Mar 18 11:16:19 +0000 2025","24985","PENDAFTARAN TRY OUT UTBK SNBT 9 2025 DIBUKA GRATIS! Yang masih merah stay strong ya karena UTBK sudah dekat saatnya kita balas dengan latihan lagi Persyaratan daftarnya juga gampang banget! Pendaftaran &amp; Pengerjaan: 18 - 22 Maret 2025 Cara pendaftaran Try Out https://t.co/8iTXCv147V","1901955823951307070","https://pbs.twimg.com/media/GmUafIhbQAM2Zp4.jpg","","in","","320","415","24693","https://x.com/sainsinaja/status/1901955823951307070","1147705432628088832","sainsinaja"
"1901846459211006029","Tue Mar 18 04:01:45 +0000 2025","107","Rumus penting PK PM UTBK SNBT yang wajib kalian pelajari dari sekarang https://t.co/x7lXI2EEwF","1901846459211006029","https://pbs.twimg.com/media/GmS3RS3akAAH9Wg.jpg","","in","","1","0","33","https://x.com/quimicaorgarsi/status/1901846459211006029","1274566360643731456","quimicaorgarsi"
"1901910334908280992","Tue Mar 18 08:15:34 +0000 2025","5080","OTW BANTAI UTBK SNBT 800+ OTW BANTAI UTBK SNBT 800+ OTW BANTAI UTBK SNBT 800+ OTW BANTAI UTBK SNBT 800+ OTW BANTAI UTBK SNBT 800+ OTW LOLOS SNBT 2025","1901910334908280992","","","in","Jakarta","36","11","2221","https://x.com/utbkcak/status/1901910334908280992","1304292109470498816","utbkcak"
"1900537981309776381","Fri Mar 14 13:22:19 +0000 2025","2669","Ini si lintasan 8 yang banyak diperdebatkan Sy sukaa PM! Just because penyelesaiannya ga sebanyak PK wkwkwk. Kalau mau nonton videonya mampir ke youtube yaa https://t.co/F9Kt3tzFiZ tag. utbk snbt 2024 2025 soal pm lintasan 8 https://t.co/pKqVxhmGM3","1900537981309776381","https://pbs.twimg.com/media/GmARMo6bMAA09bX.jpg","","in","Indonesia","33","9","603","https://x.com/inayrusatig/status/1900537981309776381","65264129","inayrusatig"
"1900194259049021530","Thu Mar 13 14:36:29 +0000 2025","1321","Pembahasan Soal PM TO 10 MIPY https://t.co/gbiJOBHHPG tag. snbt utbk 2025 pk pm https://t.co/eSLbaLvFtG","1900194259049021530","https://pbs.twimg.com/media/Gl7Ym71bYAQXQPY.jpg","","in","Indonesia","2","5","287","https://x.com/inayrusatig/status/1900194259049021530","65264129","inayrusatig"
"1902014316754374770","Tue Mar 18 15:08:45 +0000 2025","12927","7 Kesalahan di SNBT yang Jarang Diketahui Banyak yang belajar keras buat SNBT tapi masih salah strategi. Jangan sampai usaha kamu gak maksimal karena hal-hal ini. Simak thread ini biar gak ngulang kesalahan yang sama https://t.co/YKZbSZZ6Lt","1902014316754374770","https://pbs.twimg.com/media/GmVM7yka4AAULSA.png","","in","","17","28","2202","https://x.com/fanybelajar/status/1902014316754374770","1879170384077225986","fanybelajar"
"1902342084268593312","Wed Mar 19 12:51:11 +0000 2025","6309","Yukkk bales di UTBK ⭐️TO UTBK GRATIS PART 5 ⭐️ Periode Pendaftaran: 19 - 23 Maret 2025 Periode Pengerjaan: 21 - 23 Maret 2025 Syaratnya mudah : 1. LIKE &amp; RT postingan ini 2. Follow @alphastude 2. Komen DONE di kolom komentar Lalu daftar di https://t.co/h9R1BrEJ9M","1902342084268593312","https://pbs.twimg.com/media/GmZ6CVma8AAtewj.jpg","","in","","43","2226","3720","https://x.com/infotembusptn/status/1902342084268593312","883498040","infotembusptn"
"1902495593794302210","Wed Mar 19 23:01:13 +0000 2025","1679","1. Spoiler Materi Esensial UTBK 2025️ Dalam waktu 1 bulanan ini kamu harus banget memahami semua materi yang Sering Banget Diujikan saat UTBK-SNBT. Kamu wajib banget buat pelajarin materi-materi di bawah ini : https://t.co/3EmA8ofzCF","1902495605051814389","https://pbs.twimg.com/media/GmcFqsOboAA7fRs.jpg","studytipsntrik","in","DKI Jakarta, Indonesia","3","3","288","https://x.com/studytipsntrik/status/1902495605051814389","1431851630652125190","studytipsntrik"
"1902295609719300238","Wed Mar 19 09:46:30 +0000 2025","3145","Masuk PTN gak cuma lewat SNBP Kita bales di SNBT besok https://t.co/MbtTDY4y6h","1902295609719300238","https://pbs.twimg.com/media/GmZN968acAAcIO9.jpg","","in","Yogyakarta, Indonesia","9","2","695","https://x.com/SkulingID/status/1902295609719300238","1748032382337482754","SkulingID"
